"avatar","fullname","id","images/0","images/1","images/2","images/3","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","user/avatar","user/description","user/joinDate","user/location","user/totalFollowers","user/totalFollowing","user/totalLikes","user/totalTweets","user/url","user/userFullName","user/username","user/verified","user/website","username","verified"
"https://pbs.twimg.com/profile_images/1597796518203121665/W5fquEj3.jpg","aruljothi_diary","1012005041211879428",,,,,"false","false","0","https://www.instagram.com/p/BkiMNU8BVsb/?utm_source=ig_twitter_share&igshid=yuell8dy7irm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","? @ St. Anthony's College, Shillong instagram.com/p/BkiMNU8BVsb/…","2018-06-27T16:09:00.000Z","https://twitter.com/JothiJ/status/1012005041211879428","https://pbs.twimg.com/profile_images/1597796518203121665/W5fquEj3.jpg","📕_Romans 15:13 
#தமிழன் #தமிழ் #தமிழ்நாடு 
☦️_Roman Catholic
🚍_Work traveller
பாதை முடிந்த பிறகும்
இந்த உலகில் பயணம் முடிவதில்லையே","2014-03-02T03:30:00.000Z","Krishnagiri, India","231","448","8340","3398","https://twitter.com//JothiJ","aruljothi_diary","@JothiJ","false","piped.video/@ArulJyothiDiary","@JothiJ","false"
,,"1306988457630167045",,,,,"false","false","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","Jay hind madam we are tourist taxi.    Drivers Shillong covid 19 service with police department Meghalaya. 26 3 20. To 30 7 20 Duty but not pay our bills. Madam we need our room rent school fees car maintenance EMI how pay our rent please pay our bills madam thanks.","2020-09-18T16:08:00.000Z","https://twitter.com/NirmalD54514881/status/1306988457630167045","https://pbs.twimg.com/profile_images/1281097536397164544/bmya3uCB.jpg",,"2020-07-09T05:25:00.000Z",,"3","14","4","70","https://twitter.com//NirmalD54514881","Nirmal Das","@NirmalD54514881","false",,,"false"
"https://pbs.twimg.com/profile_images/1597796518203121665/W5fquEj3.jpg","aruljothi_diary","1011905658315161602",,,,,"false","false","0","https://www.instagram.com/p/BkhfRilBIvm/?utm_source=ig_twitter_share&igshid=1f7hcax12km9g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","SAC campus @ St. Anthony's College, Shillong instagram.com/p/BkhfRilBIvm/…","2018-06-27T09:34:00.000Z","https://twitter.com/JothiJ/status/1011905658315161602","https://pbs.twimg.com/profile_images/1597796518203121665/W5fquEj3.jpg","📕_Romans 15:13 
#தமிழன் #தமிழ் #தமிழ்நாடு 
☦️_Roman Catholic
🚍_Work traveller
பாதை முடிந்த பிறகும்
இந்த உலகில் பயணம் முடிவதில்லையே","2014-03-02T03:30:00.000Z","Krishnagiri, India","231","448","8340","3398","https://twitter.com//JothiJ","aruljothi_diary","@JothiJ","false","piped.video/@ArulJyothiDiary","@JothiJ","false"
"https://pbs.twimg.com/profile_images/1597796518203121665/W5fquEj3.jpg","aruljothi_diary","1007594609046904832",,,,,"false","false","0","https://www.instagram.com/p/BkC21d8BB3q/?utm_source=ig_twitter_share&igshid=1uon3rq6jafqm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","Just posted a photo @ Oriens Theological College instagram.com/p/BkC21d8BB3q/…","2018-06-15T12:04:00.000Z","https://twitter.com/JothiJ/status/1007594609046904832","https://pbs.twimg.com/profile_images/1597796518203121665/W5fquEj3.jpg","📕_Romans 15:13 
#தமிழன் #தமிழ் #தமிழ்நாடு 
☦️_Roman Catholic
🚍_Work traveller
பாதை முடிந்த பிறகும்
இந்த உலகில் பயணம் முடிவதில்லையே","2014-03-02T03:30:00.000Z","Krishnagiri, India","231","448","8340","3398","https://twitter.com//JothiJ","aruljothi_diary","@JothiJ","false","piped.video/@ArulJyothiDiary","@JothiJ","false"
"https://pbs.twimg.com/profile_images/1597796518203121665/W5fquEj3.jpg","aruljothi_diary","1005011286047055873",,,,,"false","false","0","https://www.instagram.com/p/BjwgExkh1gI/?utm_source=ig_twitter_share&igshid=1lt44309k1reo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","St.Anthonys college @ Shillong Meghalaya instagram.com/p/BjwgExkh1gI/…","2018-06-08T08:58:00.000Z","https://twitter.com/JothiJ/status/1005011286047055873","https://pbs.twimg.com/profile_images/1597796518203121665/W5fquEj3.jpg","📕_Romans 15:13 
#தமிழன் #தமிழ் #தமிழ்நாடு 
☦️_Roman Catholic
🚍_Work traveller
பாதை முடிந்த பிறகும்
இந்த உலகில் பயணம் முடிவதில்லையே","2014-03-02T03:30:00.000Z","Krishnagiri, India","231","448","8340","3398","https://twitter.com//JothiJ","aruljothi_diary","@JothiJ","false","piped.video/@ArulJyothiDiary","@JothiJ","false"
"https://pbs.twimg.com/profile_images/1718334309868924928/l4SZM0qh.jpg","Gaurav the Wasp","982857456039747584",,,,,"false","false","0","https://www.instagram.com/p/BhTFrxQgUiM/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","About yesterday | Parting Social, 2018 @ Union Christian College,Meghalaya instagram.com/p/BhTFrxQgUiM/","2018-04-08T05:47:00.000Z","https://twitter.com/chrisgaurav18/status/982857456039747584","https://pbs.twimg.com/profile_images/1718334309868924928/l4SZM0qh.jpg","He/His/Him","2012-04-16T04:59:00.000Z",,"548","173","72018","17833","https://twitter.com//chrisgaurav18","Gaurav the Wasp","@chrisgaurav18","false","instagram.com/chrisgaurav18","@chrisgaurav18","false"
"https://pbs.twimg.com/profile_images/1718334309868924928/l4SZM0qh.jpg","Gaurav the Wasp","969465051064291328",,,,,"false","false","0","https://www.instagram.com/p/Bfz7hT2g9sm/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","Grateful 🙏
Drama Club (2017-18) 🎭 @ Union Christian College,Meghalaya instagram.com/p/Bfz7hT2g9sm/","2018-03-02T06:50:00.000Z","https://twitter.com/chrisgaurav18/status/969465051064291328","https://pbs.twimg.com/profile_images/1718334309868924928/l4SZM0qh.jpg","He/His/Him","2012-04-16T04:59:00.000Z",,"548","173","72018","17833","https://twitter.com//chrisgaurav18","Gaurav the Wasp","@chrisgaurav18","false","instagram.com/chrisgaurav18","@chrisgaurav18","false"
"https://pbs.twimg.com/profile_images/1677728260787167233/uR-X6ECD.jpg","Golden🌟","968840976360914944","https://pbs.twimg.com/media/DXIDnhRVwAAFE59.jpg",,,,"false","false","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2","0","College","First day of college week😂","2018-02-28T13:31:00.000Z","https://twitter.com/queen_potato99/status/968840976360914944","https://pbs.twimg.com/profile_images/1677728260787167233/uR-X6ECD.jpg","_I wish I were a girl again, half savage and hardy, and free... why am I so changed?_
~wuthering heights","2013-01-08T16:19:00.000Z","Kohima, India","1729","1192","9554","1500","https://twitter.com//queen_potato99","Golden🌟","@queen_potato99","false",,"@queen_potato99","false"
"https://pbs.twimg.com/profile_images/1718334309868924928/l4SZM0qh.jpg","Gaurav the Wasp","966360260528271360",,,,,"false","false","0","https://www.instagram.com/p/Bfd3n0IA3IC/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","College","Today @ Union Christian College,Meghalaya instagram.com/p/Bfd3n0IA3IC/","2018-02-21T17:13:00.000Z","https://twitter.com/chrisgaurav18/status/966360260528271360","https://pbs.twimg.com/profile_images/1718334309868924928/l4SZM0qh.jpg","He/His/Him","2012-04-16T04:59:00.000Z",,"548","173","72018","17833","https://twitter.com//chrisgaurav18","Gaurav the Wasp","@chrisgaurav18","false","instagram.com/chrisgaurav18","@chrisgaurav18","false"
"https://pbs.twimg.com/profile_images/1281097536397164544/bmya3uCB.jpg","Nirmal Das","1305854777260032000",,,,,"false","false","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","School","Sir Joy hind we are tourist taxi Drivers. Shillong covid 19 service with police department of Meghalaya 14 vehicles duty 26 3 20 to 30 7 20. 7 months raining not pay our bills sir please we need our room rent school fees car maintenance EMI how pay tell me sir.p","2020-09-15T13:03:00.000Z","https://twitter.com/NirmalD54514881/status/1305854777260032000","https://pbs.twimg.com/profile_images/1281097536397164544/bmya3uCB.jpg",,"2020-07-09T05:25:00.000Z",,"3","14","4","70","https://twitter.com//NirmalD54514881","Nirmal Das","@NirmalD54514881","false",,"@NirmalD54514881","false"
