avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,links/17,links/18,links/19,links/20,links/21,links/22,links/23,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/images/3,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/links/6,quotedTweet/links/7,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1200662905420685312,,,,,False,False,3,https://twitter.com/search?q=%23ShimlaDiaries,https://twitter.com/search?q=%23shimla,https://twitter.com/search?q=%23himachalpradesh,https://twitter.com/search?q=%23littlegirl,https://twitter.com/search?q=%23student,https://twitter.com/search?q=%23uniform,https://twitter.com/search?q=%23morning,https://twitter.com/search?q=%23smiling,https://twitter.com/search?q=%23himachaldiaries,https://twitter.com/search?q=%23india,https://twitter.com/search?q=%23OjasRawal,https://twitter.com/search?q=%23actor,https://twitter.com/search?q=%23lilgirl,https://twitter.com/search?q=%23school,https://twitter.com/search?q=%23schoolgirl,https://twitter.com/search?q=%23schooluniform,https://www.instagram.com/p/B5esImdlFNj/?igshid=iw2gcmic3is0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,cute lil angel uniform shimladiaries shilla himachalpradesh littlegirl student uniform morning smiling himachaldiaries india ojasrawal actor lilgirl school schoolgirl,2019-11-30T06:28:00.000Z,https://twitter.com/RawalOjas/status/1200662905420685312,https://pbs.twimg.com/profile_images/1253043165474390016/5C9x7dxO.jpg,"Actor▪︎Humourist▪︎Writer▪︎Anchor▪︎Director
Speaker▪︎Quizmaster▪︎Foreign Ed Advisor
Painter▪︎Sculptor▪︎Dancer▪︎Singer▪︎Youth NGO

Florida 🇺🇸 - 🇮🇳 Mumbai",2016-01-22T19:34:00.000Z,"Mumbai, Maharashtra",2958,219,1334,1504,https://twitter.com//RawalOjas,Ojas Rawal,@RawalOjas,False,facebook.com/ojasrawaloffici…,,False
https://pbs.twimg.com/profile_images/1695092915750744064/HM0SSJ_f.jpg,Col J Sharotri(Veteran) 🇮🇳,911246406584745985,,,,,False,False,2,https://twitter.com/narendramodi,https://twitter.com/search?q=%23pappu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,college,many pal remember soon being address gang dill college pappu also thereafter,2017-09-22T15:10:00.000Z,https://twitter.com/colonelsharotri/status/911246406584745985,https://pbs.twimg.com/profile_images/1695092915750744064/HM0SSJ_f.jpg,Bharat ka poorav Sainik .,2011-04-03T12:48:00.000Z,BHARAT (Devbhumi),4977,1713,13399,78337,https://twitter.com//colonelsharotri,Col J Sharotri(Veteran) 🇮🇳,@colonelsharotri,False,,@colonelsharotri,False
https://pbs.twimg.com/profile_images/1514787765157695491/OMNco8RT.jpg,Gaurav Attri,910167179735085057,https://pbs.twimg.com/media/DKGQHHoVoAA9lNF.jpg,,,,False,False,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,6,college,membership dental college i'm,2017-09-19T15:42:00.000Z,https://twitter.com/iGauravAttri/status/910167179735085057,https://pbs.twimg.com/profile_images/1514787765157695491/OMNco8RT.jpg,"State Organizing Secretary, ABVP Himachal Pradesh @abvphp |
ex SCA President Solan College & HP University Shimla ABVP",2015-10-15T05:21:00.000Z,KASAULI/SHIMLA/HP/ भारत,4156,473,28925,11278,https://twitter.com//iGauravAttri,Gaurav Attri,@iGauravAttri,False,,@iGauravAttri,False
https://pbs.twimg.com/profile_images/1680643275097800704/xv3wZV0V.jpg,Ankit Chandel,904167163556052992,,,,,False,False,8,https://twitter.com/search?q=%23ABVP,https://twitter.com/abvphp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,college,day college able,2017-09-03T02:20:00.000Z,https://twitter.com/iankitchandel/status/904167163556052992,https://pbs.twimg.com/profile_images/1680643275097800704/xv3wZV0V.jpg,#FreeHinduTemples • Advocate • WOSY• ABVP •,2017-03-21T05:32:00.000Z,शिमला | हिमालय का दिल हिमाचल,2358,876,61820,9812,https://twitter.com//iankitchandel,Ankit Chandel,@iankitchandel,False,facebook.com/ankit.chandel.5…,@iankitchandel,False
https://pbs.twimg.com/profile_images/1691360644430450688/kVbHMwAQ.jpg,ABVP Shimla,901441931686719489,https://pbs.twimg.com/media/DIKQnWOUwAAp27K.jpg,,,,False,False,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,5,college,able rum gave memorandum college principle regarding college issue,2017-08-26T13:51:00.000Z,https://twitter.com/abvp4shimla/status/901441931686719489,https://pbs.twimg.com/profile_images/1691360644430450688/kVbHMwAQ.jpg,Offical Twitter handle of ABVP District Shimla (Himachal Pradesh) | Offical State handle @abvphp | facebook.com/abvp4shimla |,2017-01-30T13:20:00.000Z,"Shimla, India",2923,166,17424,10261,https://twitter.com//abvp4shimla,ABVP Shimla,@abvp4shimla,False,abvp.org,@abvp4shimla,False
https://pbs.twimg.com/profile_images/1586746969137242112/-XA1Ze7T.jpg,Chimango,1161867890905288704,,,,,False,False,0,https://www.instagram.com/p/B1LCNLgBokn/?igshid=1o4eo4w00k7zo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,independence day bar university shilla hills,2019-08-15T05:11:00.000Z,https://twitter.com/ChimangoM/status/1161867890905288704,https://pbs.twimg.com/profile_images/1586746969137242112/-XA1Ze7T.jpg,Let's Laugh,2012-11-03T22:36:00.000Z,"Chandigarh, India",464,35,229,1049,https://twitter.com//ChimangoM,Chimango,@ChimangoM,False,piped.video/c/ChimangoMwandi…,@ChimangoM,False
,,1201710147967442950,,,,,False,False,0,https://twitter.com/search?q=%23bundi,https://twitter.com/search?q=%23hookah,https://twitter.com/search?q=%23huqqa,https://twitter.com/search?q=%23royal,https://twitter.com/search?q=%23smoking,https://twitter.com/search?q=%23archaeological,https://twitter.com/search?q=%23citizenarchaeology,https://twitter.com/search?q=%23instaheritage,https://www.instagram.com/p/B5mIXc2HMy-/?igshid=1itpars7b82c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,School,royal lady smoking hula bundt style with century rajasthani school art himachal state museum shilla bundt hookah hula royal smoking archaeological citizenarchaeology,2019-12-03T03:50:00.000Z,https://twitter.com/speakingarch/status/1201710147967442950,https://pbs.twimg.com/profile_images/1664960954268876800/PkPHI5XK.jpg,An archaeological education group focused on archaeological research and bringing forgotten sites and artefacts back on the global archaeological map.,2015-10-07T18:32:00.000Z,,284,203,35,1167,https://twitter.com//speakingarch,Speaking Archaeologically,@speakingarch,False,speakingarchaeologically.co.…,,False
https://pbs.twimg.com/profile_images/1586746969137242112/-XA1Ze7T.jpg,Chimango,1160531195068919808,,,,,False,False,0,https://www.instagram.com/p/B1BiVtrBvbw/?igshid=1mjk9aeoqb4z5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,smile always bar university shilla hills,2019-08-11T12:39:00.000Z,https://twitter.com/ChimangoM/status/1160531195068919808,https://pbs.twimg.com/profile_images/1586746969137242112/-XA1Ze7T.jpg,Let's Laugh,2012-11-03T22:36:00.000Z,"Chandigarh, India",464,35,229,1049,https://twitter.com//ChimangoM,Chimango,@ChimangoM,False,piped.video/c/ChimangoMwandi…,@ChimangoM,False
https://pbs.twimg.com/profile_images/1691091188860743681/VPFsT0wT.jpg,Rajat Chaudhary,1156936823223934976,,,,,False,False,0,https://www.instagram.com/p/B0n_vsHAYkD/?igshid=189rnygbjplkh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,himachal grades national law university hindu shilla,2019-08-01T14:36:00.000Z,https://twitter.com/thefamouxxboy/status/1156936823223934976,https://pbs.twimg.com/profile_images/1691091188860743681/VPFsT0wT.jpg,,2013-09-09T05:08:00.000Z,Shimla,3069,1391,1674,220851,https://twitter.com//thefamouxxboy,Rajat Chaudhary,@thefamouxxboy,False,,@thefamouxxboy,False
https://pbs.twimg.com/profile_images/1691091188860743681/VPFsT0wT.jpg,Rajat Chaudhary,1156137588991729665,,,,,False,False,0,https://www.instagram.com/p/B0iUXf8h1oM/?igshid=4zxnpew602tz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,University,himachal grades national law university hindu shilla,2019-07-30T09:40:00.000Z,https://twitter.com/thefamouxxboy/status/1156137588991729665,https://pbs.twimg.com/profile_images/1691091188860743681/VPFsT0wT.jpg,,2013-09-09T05:08:00.000Z,Shimla,3069,1391,1674,220851,https://twitter.com//thefamouxxboy,Rajat Chaudhary,@thefamouxxboy,False,,@thefamouxxboy,False
