avatar,fullname,id,images/0,images/1,images/2,images/3,isQuote,isRetweet,likes,links/0,links/1,links/2,links/3,links/4,links/5,links/6,links/7,links/8,links/9,links/10,links/11,links/12,links/13,links/14,links/15,links/16,links/17,links/18,links/19,links/20,links/21,links/22,links/23,quotedTweet/avatar,quotedTweet/fullname,quotedTweet/images/0,quotedTweet/images/1,quotedTweet/images/2,quotedTweet/images/3,quotedTweet/links/0,quotedTweet/links/1,quotedTweet/links/2,quotedTweet/links/3,quotedTweet/links/4,quotedTweet/links/5,quotedTweet/links/6,quotedTweet/links/7,quotedTweet/links/8,quotedTweet/links/9,quotedTweet/text,quotedTweet/timestamp,quotedTweet/url,quotedTweet/username,quotes,replies,retweets,searchQuery,text,timestamp,url,user/avatar,user/description,user/joinDate,user/location,user/totalFollowers,user/totalFollowing,user/totalLikes,user/totalTweets,user/url,user/userFullName,user/username,user/verified,user/website,username,verified
,,1476800867982401536,,,,,False,False,1,https://twitter.com/search?q=%23cryptocurrencies,https://twitter.com/search?q=%23Bitcoin,https://twitter.com/search?q=%23dogecoin,https://twitter.com/search?q=%23neetpg2021counselling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,College,adding course fee pursuing post graduation specialisation india private colleges fee years approve lakhs thats current value single fucking bitcoin cryptocurrencies bitcoin dogecoin neetpg2021counselling,2021-12-31T06:22:00.000Z,https://twitter.com/JayavantDr/status/1476800867982401536,https://pbs.twimg.com/profile_images/1401088062256390144/LpPwKtAr.jpg,"MBBS | Idli and appam lover| 
| RCB💯 | Liverpool FC l Ortho JR",2021-04-15T20:05:00.000Z,India,68,622,3752,732,https://twitter.com//JayavantDr,Dr JP,@JayavantDr,False,,,False
,,1476430873352294400,,,,,False,False,1,https://chng.it/Jv6GMgsg,https://twitter.com/ChangeOrg_India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,College,hasty decision close use evening engineering colleges bangalore sign petition chngitjv6gmgsg via,2021-12-30T05:52:00.000Z,https://twitter.com/iamsuneelblr/status/1476430873352294400,https://pbs.twimg.com/profile_images/1700405092594204672/msRV56tk.jpg,District Vice President - BJYM Bengaluru Central | Entrepreneur | #IAmNewIndia,2009-06-09T21:15:00.000Z,Bengaluru,791,1299,13819,10780,https://twitter.com//iamsuneelblr,"Suneel Shivananda 🇮🇳 BE Civil, DCE",@iamsuneelblr,False,facebook.com/Suneelshivanand…,,False
,,1470323925309538305,,,,,False,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,Masters,first major gambit masters harbinger,2021-12-13T09:25:00.000Z,https://twitter.com/der_normal1/status/1470323925309538305,https://pbs.twimg.com/profile_images/1608659499723948033/a__22732.jpg,100% GOD 🙏 | Liverpool #YNWA,2012-01-14T14:37:00.000Z,"Guwahati, India",51,39,559,3488,https://twitter.com//der_normal1,Kaushik Aditya Das,@der_normal1,False,instagram.com/der_normal1,,False
,,1476417487344263175,,,,,False,False,0,https://twitter.com/CMofKarnataka,https://twitter.com/drashwathcn,https://twitter.com/EduMinOfIndia,https://twitter.com/PMOIndia,https://twitter.com/narendramodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,seeing rise cases shut theaters schools colleges immediately help curb spread avoid ord wave,2021-12-30T04:58:00.000Z,https://twitter.com/Deepakshanmu/status/1476417487344263175,https://pbs.twimg.com/profile_images/1525019978444877825/fMnHq7hr.jpg,Engineer By Profession and Human by Nature!,2020-09-30T10:00:00.000Z,Bangalore,4,109,210,656,https://twitter.com//Deepakshanmu,Deepak,@Deepakshanmu,False,,,False
,,1466070938198282246,,,,,False,False,0,https://twitter.com/ndtvfeed,https://twitter.com/search?q=%23Anti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,antichristian drive islamophobia poll strategy forgive fringe groups carrying masters orders paid absence employment opportunity majority wish voice stop christians muslims silently suffering,2021-12-01T15:45:00.000Z,https://twitter.com/AlphonseAmalan1/status/1466070938198282246,https://pbs.twimg.com/profile_images/1357350400794325001/9t_Wl7UR.jpg,Ex-Air Force veteran. Attracted to politics accidentally. No party affiliation. Not a center stooge.,2019-04-09T04:43:00.000Z,Bangalore - 560075,614,2499,3812,8509,https://twitter.com//AlphonseAmalan1,Alphonse Amalanathan,@AlphonseAmalan1,False,,,False
,,1476468329300652034,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,got buy laptop college akin,2021-12-30T08:20:00.000Z,https://twitter.com/oshsounds/status/1476468329300652034,https://pbs.twimg.com/profile_images/1504749091930075138/sEKCjeSt.jpg,Professional  60000 bands exiter. e/acc,2020-01-09T06:38:00.000Z,Bengaluru,52,888,42179,5634,https://twitter.com//oshsounds,osh,@oshsounds,False,,,False
,,1476413259318116356,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,College,able make college days,2021-12-30T04:42:00.000Z,https://twitter.com/BLRrocKS/status/1476413259318116356,https://pbs.twimg.com/profile_images/1459820999050858496/tsp2ogqn.jpg,🟨🟥 | BENGALURU | ENTJ | 𝗦𝗮𝗿𝗰𝗮𝘀𝘁𝗶𝗰 | Assertive | Forever-Learning Mode|  💊 and 💉 maker for 💵 💵 |,2014-01-11T10:18:00.000Z,"Bengaluru South, India",7765,274,115769,248903,https://twitter.com//BLRrocKS,ತರ್ಲೆ 𝗧𝗵𝗶𝗺𝗺𝗮,@BLRrocKS,True,,,True
,,1464844873643614211,,,,,False,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Masters,try anti hindu anti davits violence speak tweet since agenda create divide british colonial masters left section group media fiercely anti mode bop anti hindus obvious reasons,2021-11-28T06:33:00.000Z,https://twitter.com/kuttan337/status/1464844873643614211,https://pbs.twimg.com/profile_images/1661722417373515776/eAYb7RGt.jpg,,2016-09-29T08:39:00.000Z,"Kerala, India",76,315,512,13554,https://twitter.com//kuttan337,Kuttan Nair,@kuttan337,False,,,False
,,1464681594812350474,,,,,False,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,Masters,fooled masters take deep breath think wisely,2021-11-27T19:44:00.000Z,https://twitter.com/AdaAnjum/status/1464681594812350474,https://pbs.twimg.com/profile_images/672433547722883072/-NvKyFj_.jpg,Proud to be an #INDIAN a #HINDI not a #HINDU.,2012-08-06T15:17:00.000Z,Bangalore,517,256,1653,6556,https://twitter.com//AdaAnjum,ada Anjum,@AdaAnjum,False,yesbeauty.blogspot.com,,False
,,1476248030827278338,,,,,False,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,College,losers team fraud customer providing per customer requirement like get bill nonsense fellow working flippant request shut company back college learn generate get bill,2021-12-29T17:45:00.000Z,https://twitter.com/amit1997maurya/status/1476248030827278338,https://pbs.twimg.com/profile_images/1476245712950030336/R8m4nbyY.jpg,☺️☺️,2015-11-19T13:38:00.000Z,"Bengaluru, India",10,45,47,113,https://twitter.com//amit1997maurya,AMIT KUMAR MAURYA,@amit1997maurya,False,,,False
